id,description,offenseType,address,nearestIntersection,references,arrested
16WF83gxEKW5FUGaVfzK8N1inUSJXqhKj7,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",Forgery,725 Express Road,Jenna,,false
1DrrhgrtwFEVpLviSVaxHdT1NAj2A3gn6P,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Terrorism,6027 Florence Place,Talmadge,,false
1LUVW9PjfuSAExZbjBstL3wwCffkiMKrZC,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",Elder Abuse / Neglect,815 Lakewood Parkway,John Wall,,true
1HD5j8G1BVpnFnv9WSS9q7pUYFrPR5hMyy,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Police Information,684 Monica Avenue,Pawling,,false
1FvZCFSH5iEjAenMThVCiCarM3Deez2esS,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Indecent Exposure,9802 Cascade Trail,Summer Ridge,,true
1MmVER9dGhisL6K5eq7szaMMQsQ5JHwyhK,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",Elder Abuse / Neglect,77392 Sachs Terrace,Riverside,,true
1MGYQENhPoY6EaBWgDDt1k999TwchpvSGT,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Prostitution,1 Burrows Avenue,Chinook,,false
1Fcpne4UQqDaynYW4AW57Q7RkNZw9Jsy2v,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Sexual Assault,1 Alpine Crossing,Memorial,,true
1PVD5drHKaGEzKwP7N9R4MDY7fd9FF4jjp,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Elder Abuse / Neglect,3688 Farmco Lane,Gateway,,true
19ikGV3qNezTr3HPPUyH323zHkKgdN894U,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Noise Complaint,52 Bellgrove Hill,Park Meadow,,false
15VcTr7PhD8h2jMP2HrnCdLAjKvkdCmtmX,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Child Abuse/Neglect,63924 Reindahl Hill,Steensland,,false
1NuFKhjk1KsdF72cqPKC4MJUBwJNKWD8ND,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Harassment,01189 5th Alley,Dexter,,true
1H3BqtC1G1hGbcnrCMKAkvo1oB3crznA3j,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Robbery,269 Hollow Ridge Pass,Debra,,true
1BkkiMQpZX3hqtePDh9GNcfUsxyDkuqhYU,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Child Sexual Images,55 Huxley Drive,Golf Course,,true
17jihxNSZEHVz8Vs9iQYuRddtfx7obVUB2,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Covid-19,64 Dorton Center,Di Loreto,,true
1PdACcW6pNZ1VXQd1Bv1WKWbVa7K6EsChZ,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Elder Abuse / Neglect,8540 Gateway Trail,Old Gate,,false
13WSLL3AfKE5Nk3U4zSQPqL9Eme58YmJHY,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Dog Bite,45 Troy Court,Sutteridge,,false
15T9CYTVwUyAzZjcXKoUkZzdgKP5fxkuos,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Terrorism,447 Maple Lane,Vera,,false
1JSSszcxcqc34nAFXgWKkGecmbW8C7h1Tr,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Theft,38496 Cascade Point,Debs,,true
19NmmN8H7mfcT39TSfftLikPMeud2vFfVQ,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Covid-19,07 Arkansas Street,Almo,,false
19dVAhG9R9sffxsLFBEdvWgUZWTP9hQedR,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",Robbery,066 Hanover Junction,Warbler,,true
1vsT6gkRspvszX8cpCp166jP2krg2d6jr,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Homicide,890 Graceland Point,Glendale,,true
1P3jhNCKoijxGqaLAejp5ApkAVCQZEusb5,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Arson,90238 Bonner Center,Almo,,false
1PjLq7fdehKoxPnr4JRupuVu9AVSFmPrRE,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Harassment,74005 Moland Plaza,Westerfield,,false
16sqPgfpb6rkHE2ZM35ZdTKfHkvNPU7QGS,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Dog Bite,57 Bowman Junction,Anhalt,,true
1HCsXisBBioxaARntzXkVxipEi7xjTUqFt,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Missing Person,7 Comanche Avenue,Kedzie,,false
13HkQ743YT6NUUTVpSY7CbW7WiRxgatjDK,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Criminal Mischief,31 Lillian Road,Northwestern,,false
19sMeKKfadxpcmELsxGASvoqso2gqdzAzi,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",Disorderly Conduct,1712 Truax Circle,Riverside,,true
12UGLnxMn3h2uBRTtiB4yxPq1jTwr9PaRW,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Missing Person,61 Kipling Court,Eagle Crest,,false
1QJGaTJwoPYvS8xrw9W6NDMmwBQ7HdKVRA,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Suspicious Activity,06187 3rd Trail,Mayer,,true
17ieaKLxyNrAH5wiSTLvQ1v7KmAGVDg69J,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Disorderly Conduct,66 Artisan Plaza,New Castle,,true
17vexM7ePiZKN93KMqXuhrQKt2JsgizgCH,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Noise Complaint,8 Arapahoe Terrace,Crowley,,false
161KenwdUJrdU4WmVFm8567VtLMaMt8tpU,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Civil Issue,409 Walton Alley,Claremont,,false
1AzUYyrpH5XJKiCuJMxXpXuCk6HB8VDrpq,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",Dog Bite,29227 Buell Crossing,Lake View,,true
1JtPBfMDm2asLWRNwqEFZTtVHRRsLGRPJY,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Missing Person,74844 Iowa Drive,Springview,,false
1GmucVhTBYysEgWQoSZ6PVUwt7P4uw8B6X,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Civil Issue,682 Sachs Court,Straubel,,true
1Q2Xtspx4Yw9FfYfwEge5UWXokwNuqKrQd,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Police Information,315 Coleman Court,Thompson,,true
1Fud9oz5BpCh1NFNyn1Yn7Gg5AnSJftgQC,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Robbery,7739 Magdeline Center,Holmberg,,false
14oV7kE2JKm3vT4qg5a8nBsUAf47aKDgkw,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Terrorism,91817 Lunder Hill,Truax,,true
1AjVqdXhfUbqk2AXdwNus3GgnWeS2yvM7g,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",Wanted Person,76 Pond Park,Weeping Birch,,true
1MaxijeHy7YeatTvaHUAqGYWBS2ib2Hj4y,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Weapons,7220 Cordelia Court,Cottonwood,,false
1CM6QYJctaHn4Rb9ajSZ8BUyTvgXjf1S4U,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Covid-19,1 North Trail,Loeprich,,false
13RhGx8GUcsGRE9313S6Gq1Co4Mr43fqCZ,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Public Peace Offense,98 Truax Alley,Tennyson,,false
16TNcvXoQSeBKLwrqf1iberex7oDoZsTAm,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",Weapons,187 Algoma Crossing,Birchwood,,false
18rNHWCLW7ojXxXLJW5B2PKzBVTcC4NyjG,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Civil Issue,7528 Canary Park,Declaration,,false
15t3ZzLJthcR7iKSVXo9svPrhJMgB1dd5B,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Harassment,66648 Maywood Court,Union,,false
134bJey53N46SjxacSXWYih4kB7cHRTRUf,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Vehicle Theft,3625 Hayes Street,Toban,,true
18UnNsxxXBr56fQR3tch2zj25DpF1Vk2vm,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Harassment,86 Melby Trail,Randy,,true
1NgTWaT1yDjn2tY2n9MqNTVKZ87snQPXdq,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Weapons,9 Barnett Park,Ilene,,true
1ENh186UkjZQBrQtKShcMPM6eFjxdgZjoi,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Arson,24 Monterey Alley,Bartelt,,false
1J97ckRfFX8q75EdcqE7bGrJpzRMKocJQH,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Parole Violation,5 Derek Plaza,Scofield,,true
14W4JvNBLfWgrgrBjJj7dR9khmyPMJfP8T,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Weapons,73 Towne Place,Express,,true
1DZvyAQkadzu96ShLk9PP3k71QKqGVFhKt,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Sexual Assault,5 Marquette Drive,Lindbergh,,true
1dJukXgjhELG8FPpnyo6SQCrUxsmBCJ6T,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Terrorism,93207 Ramsey Pass,Blaine,,true
1CnBoth2hQSe524t8xpBYomwwMqwiamwHi,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",Homicide,208 Forster Way,Monica,,false
1FxynfXCtP9ZTxBhvYyys7GerDDg5J2WeC,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",Child Abuse/Neglect,85814 Bunker Hill Crossing,Northview,,false
1KZpKYkNQjZBarAjvn6NCfZKXGHSKJdxEy,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Assault,086 Ridgeway Circle,Sunbrook,,true
1MPMARmCJtFAodzpcmvyt1nvjvhuqwMfgn,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Dog Bite,071 Merry Crossing,Lawn,,true
1CNshx7pCVTypQu7y6mxRNKhCtmMnhgq8t,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Dog Bite,3539 Vidon Plaza,Warner,,true
1Edmw3RHMkD43YRtjmhr1guXY4GSMUWdg1,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Parole Violation,51 Twin Pines Alley,School,,true
17kmHB5BnBdUfyUnQ97qTAQJdjeCZw81SD,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Sexual Assault,449 Scoville Place,Moose,,true
1JWKguYweh9qVrJKmZsEdfJZFwmJCysM66,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Harassment,3 Forest Run Avenue,Brentwood,,true
1HC1BLbJYFupZwUJodHfnkmKJDh11YjCVx,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Dog Bite,42246 Mariners Cove Crossing,Atwood,,false
